name,crate,tag
external command,parser,0.6.0
external expression,parser,0.6.0
external expression,parser,0.6.0
fetch,commands,0.6.0
file path,parser,0.6.0
filesystem,shell,0.6.0
first,commands,0.6.0
from-bson,commands,0.6.0
from-csv,commands,0.6.0
from-db,commands,0.6.0
from-ini,commands,0.6.0
from-json,commands,0.6.0
from-sqlite,commands,0.6.0
from-toml,commands,0.6.0
from-tsv,commands,0.6.0
from-url,commands,0.6.0
from-xlsx,commands,0.6.0
from-xml,commands,0.6.0
from-yaml,commands,0.6.0
from-yml,commands,0.6.0
get,commands,0.6.0
glob pattern,parser,0.6.0
group-by,commands,0.6.0
help,commands,0.6.0
histogram,commands,0.6.0
history,commands,0.6.0
infix inner,parser,0.6.0
infix operator,parser,0.6.0
integer,parser,0.6.0
integer member,parser,0.6.0
internal command head,parser,0.6.0
last,commands,0.6.0
lines,commands,0.6.0
ls,commands,0.6.0
map-max-by,commands,0.6.0
maybe space,parser,0.6.0
maybe space,parser,0.6.0
mkdir,commands,0.6.0
mv,commands,0.6.0
n,commands,0.6.0
nth,commands,0.6.0
number,parser,0.6.0
open,commands,0.6.0
p,commands,0.6.0
path continuation,parser,0.6.0
pick,commands,0.6.0
pipeline,parser,0.6.0
pipeline,parser,0.6.0
pivot,commands,0.6.0
post,commands,0.6.0
prepend,commands,0.6.0
pwd,commands,0.6.0
reduce-by,commands,0.6.0
reject,commands,0.6.0
reverse,commands,0.6.0
rm,commands,0.6.0
save,commands,0.6.0
shells,commands,0.6.0
shorthand block,parser,0.6.0
shorthand head,parser,0.6.0
shorthand path,parser,0.6.0
size,commands,0.6.0
skip-while,commands,0.6.0
sort-by,commands,0.6.0
spaced expression,parser,0.6.0
split-by,commands,0.6.0
split-column,commands,0.6.0
split-row,commands,0.6.0
string,parser,0.6.0
t-sort-by,commands,0.6.0
table,commands,0.6.0
tags,commands,0.6.0
to-bson,commands,0.6.0
to-csv,commands,0.6.0
to-db,commands,0.6.0
to-json,commands,0.6.0
to-sqlite,commands,0.6.0
to-toml,commands,0.6.0
to-tsv,commands,0.6.0
to-url,commands,0.6.0
to-yaml,commands,0.6.0
trim,commands,0.6.0
unit,parser,0.6.0
variable,parser,0.6.0
variable path,parser,0.6.0
version,commands,0.6.0
what?,commands,0.6.0
where,commands,0.6.0
which,commands,0.6.0
whitespace,parser,0.6.0
word,parser,0.6.0
word continuation,parser,0.6.0
AnyBlockShape,parser,0.6.1
AnyExpressionShape,parser,0.6.1
AnyExpressionStartShape,parser,0.6.1
BackoffColoringMode,parser,0.6.1
BareShape,parser,0.6.1
BareTailShape,parser,0.6.1
ColorableDotShape,parser,0.6.1
ColumnPathShape,parser,0.6.1
CommandHeadShape,parser,0.6.1
CommandShape,parser,0.6.1
CommandTailShape,parser,0.6.1
DelimitedShape,parser,0.6.1
ExpressionContinuationShape,parser,0.6.1
ExpressionListShape,parser,0.6.1
ExternalExpression,parser,0.6.1
ExternalTokensShape,parser,0.6.1
FilePathShape,parser,0.6.1
InfixShape,parser,0.6.1
IntShape,parser,0.6.1
InternalCommandHeadShape,parser,0.6.1
MaybeSpaceShape,parser,0.6.1
MemberShape,parser,0.6.1
NumberShape,parser,0.6.1
PathTailShape,parser,0.6.1
PatternShape,parser,0.6.1
PipelineShape,parser,0.6.1
ShorthandBlock,parser,0.6.1
ShorthandPath,parser,0.6.1
SimplestExpression,parser,0.6.1
SpaceShape,parser,0.6.1
StringShape,parser,0.6.1
SyntaxShape,parser,0.6.1
VariablePathShape,parser,0.6.1
VariableShape,parser,0.6.1
WhitespaceShape,parser,0.6.1
any block,parser,0.6.1
any expression,parser,0.6.1
any expression start,parser,0.6.1
append,commands,0.6.1
autoview,commands,0.6.1
bare path,parser,0.6.1
bare pattern,parser,0.6.1
cd,commands,0.6.1
classified command,parser,0.6.1
clip,commands,0.6.1
column,parser,0.6.1
column path,parser,0.6.1
command head,parser,0.6.1
compact,commands,0.6.1
config,commands,0.6.1
count,commands,0.6.1
cp,commands,0.6.1
date,commands,0.6.1
debug,commands,0.6.1
default,commands,0.6.1
dot,parser,0.6.1
echo,commands,0.6.1
enter,commands,0.6.1
env,commands,0.6.1
evaluate-by,commands,0.6.1
exit,commands,0.6.1
expression continuation,parser,0.6.1
expression list,parser,0.6.1
external argument,parser,0.6.1
external argument,parser,0.6.1
external command,parser,0.6.1
external expression,parser,0.6.1
external expression,parser,0.6.1
fetch,commands,0.6.1
file path,parser,0.6.1
filesystem,shell,0.6.1
first,commands,0.6.1
from-bson,commands,0.6.1
from-csv,commands,0.6.1
from-db,commands,0.6.1
from-ini,commands,0.6.1
from-json,commands,0.6.1
from-sqlite,commands,0.6.1
from-toml,commands,0.6.1
from-tsv,commands,0.6.1
from-url,commands,0.6.1
from-xlsx,commands,0.6.1
from-xml,commands,0.6.1
from-yaml,commands,0.6.1
from-yml,commands,0.6.1
get,commands,0.6.1
glob pattern,parser,0.6.1
group-by,commands,0.6.1
help,commands,0.6.1
histogram,commands,0.6.1
history,commands,0.6.1
infix inner,parser,0.6.1
infix operator,parser,0.6.1
integer,parser,0.6.1
integer member,parser,0.6.1
internal command head,parser,0.6.1
last,commands,0.6.1
lines,commands,0.6.1
ls,commands,0.6.1
map-max-by,commands,0.6.1
maybe space,parser,0.6.1
maybe space,parser,0.6.1
mkdir,commands,0.6.1
mv,commands,0.6.1
n,commands,0.6.1
nth,commands,0.6.1
number,parser,0.6.1
open,commands,0.6.1
p,commands,0.6.1
path continuation,parser,0.6.1
pick,commands,0.6.1
pipeline,parser,0.6.1
pipeline,parser,0.6.1
pivot,commands,0.6.1
post,commands,0.6.1
prepend,commands,0.6.1
pwd,commands,0.6.1
reduce-by,commands,0.6.1
reject,commands,0.6.1
reverse,commands,0.6.1
rm,commands,0.6.1
save,commands,0.6.1
shells,commands,0.6.1
shorthand block,parser,0.6.1
shorthand head,parser,0.6.1
shorthand path,parser,0.6.1
size,commands,0.6.1
skip-while,commands,0.6.1
sort-by,commands,0.6.1
spaced expression,parser,0.6.1
split-by,commands,0.6.1
split-column,commands,0.6.1
split-row,commands,0.6.1
string,parser,0.6.1
t-sort-by,commands,0.6.1
table,commands,0.6.1
tags,commands,0.6.1
to-bson,commands,0.6.1
to-csv,commands,0.6.1
to-db,commands,0.6.1
to-json,commands,0.6.1
to-sqlite,commands,0.6.1
to-toml,commands,0.6.1
to-tsv,commands,0.6.1
to-url,commands,0.6.1
to-yaml,commands,0.6.1
trim,commands,0.6.1
unit,parser,0.6.1
variable,parser,0.6.1
variable path,parser,0.6.1
version,commands,0.6.1
what?,commands,0.6.1
where,commands,0.6.1
which,commands,0.6.1
whitespace,parser,0.6.1
word,parser,0.6.1
word continuation,parser,0.6.1
..,nu-parser,0.7.0
AnyBlockShape,nu-parser,0.7.0
AnyExpressionShape,nu-parser,0.7.0
AnyExpressionStartShape,nu-parser,0.7.0
BackoffColoringMode,nu-parser,0.7.0
BareShape,nu-parser,0.7.0
BareTailShape,nu-parser,0.7.0
ColorableDotShape,nu-parser,0.7.0
ColumnPathShape,nu-parser,0.7.0
CommandHeadShape,nu-parser,0.7.0
CommandShape,nu-parser,0.7.0
CommandTailShape,nu-parser,0.7.0
DelimitedShape,nu-parser,0.7.0
ExpressionContinuationShape,nu-parser,0.7.0
ExpressionListShape,nu-parser,0.7.0
ExternalExpressionShape,nu-parser,0.7.0
ExternalTokensShape,nu-parser,0.7.0
FilePathShape,nu-parser,0.7.0
InfixShape,nu-parser,0.7.0
IntShape,nu-parser,0.7.0
InternalCommandHeadShape,nu-parser,0.7.0
MaybeSpaceShape,nu-parser,0.7.0
MemberShape,nu-parser,0.7.0
NumberShape,nu-parser,0.7.0
PathTailShape,nu-parser,0.7.0
PatternShape,nu-parser,0.7.0
PipelineShape,nu-parser,0.7.0
RangeShape,nu-parser,0.7.0
ShorthandBlock,nu-parser,0.7.0
ShorthandPath,nu-parser,0.7.0
SimplestExpression,nu-parser,0.7.0
SpaceShape,nu-parser,0.7.0
StringShape,nu-parser,0.7.0
SyntaxShape,nu-parser,0.7.0
VariablePathShape,nu-parser,0.7.0
VariableShape,nu-parser,0.7.0
WhitespaceShape,nu-parser,0.7.0
any block,nu-parser,0.7.0
any expression,nu-parser,0.7.0
any expression start,nu-parser,0.7.0
bare path,nu-parser,0.7.0
bare pattern,nu-parser,0.7.0
classified command,nu-parser,0.7.0
column,nu-parser,0.7.0
column path,nu-parser,0.7.0
command head,nu-parser,0.7.0
comment,nu-parser,0.7.0
dot,nu-parser,0.7.0
expression continuation,nu-parser,0.7.0
expression list,nu-parser,0.7.0
external argument,nu-parser,0.7.0
external argument,nu-parser,0.7.0
external command,nu-parser,0.7.0
external expression,nu-parser,0.7.0
file path,nu-parser,0.7.0
glob pattern,nu-parser,0.7.0
identifier,nu-parser,0.7.0
infix inner,nu-parser,0.7.0
infix operator,nu-parser,0.7.0
integer,nu-parser,0.7.0
integer member,nu-parser,0.7.0
internal command head,nu-parser,0.7.0
keyword,nu-parser,0.7.0
maybe space,nu-parser,0.7.0
maybe space,nu-parser,0.7.0
number,nu-parser,0.7.0
pair,nu-parser,0.7.0
path continuation,nu-parser,0.7.0
pipeline,nu-parser,0.7.0
positional param,nu-parser,0.7.0
range,nu-parser,0.7.0
separator,nu-parser,0.7.0
shorthand block,nu-parser,0.7.0
shorthand head,nu-parser,0.7.0
shorthand path,nu-parser,0.7.0
signature,nu-parser,0.7.0
spaced expression,nu-parser,0.7.0
string,nu-parser,0.7.0
type,nu-parser,0.7.0
type annotation,nu-parser,0.7.0
unit,nu-parser,0.7.0
variable,nu-parser,0.7.0
variable path,nu-parser,0.7.0
whitespace,nu-parser,0.7.0
word,nu-parser,0.7.0
word continuation,nu-parser,0.7.0
..,nu-parser,0.8.0
AnyBlockShape,nu-parser,0.8.0
AnyExpressionShape,nu-parser,0.8.0
AnyExpressionStartShape,nu-parser,0.8.0
BackoffColoringMode,nu-parser,0.8.0
BareShape,nu-parser,0.8.0
BareTailShape,nu-parser,0.8.0
ColorableDotShape,nu-parser,0.8.0
ColumnPathShape,nu-parser,0.8.0
CommandHeadShape,nu-parser,0.8.0
CommandShape,nu-parser,0.8.0
CommandTailShape,nu-parser,0.8.0
DelimitedShape,nu-parser,0.8.0
ExpressionContinuationShape,nu-parser,0.8.0
ExpressionListShape,nu-parser,0.8.0
ExternalExpressionShape,nu-parser,0.8.0
ExternalTokensShape,nu-parser,0.8.0
FilePathShape,nu-parser,0.8.0
InfixShape,nu-parser,0.8.0
IntShape,nu-parser,0.8.0
InternalCommandHeadShape,nu-parser,0.8.0
MaybeSpaceShape,nu-parser,0.8.0
MemberShape,nu-parser,0.8.0
NumberShape,nu-parser,0.8.0
PathTailShape,nu-parser,0.8.0
PatternShape,nu-parser,0.8.0
PipelineShape,nu-parser,0.8.0
RangeShape,nu-parser,0.8.0
ShorthandBlock,nu-parser,0.8.0
ShorthandPath,nu-parser,0.8.0
SimplestExpression,nu-parser,0.8.0
SpaceShape,nu-parser,0.8.0
StringShape,nu-parser,0.8.0
SyntaxShape,nu-parser,0.8.0
VariablePathShape,nu-parser,0.8.0
VariableShape,nu-parser,0.8.0
WhitespaceShape,nu-parser,0.8.0
any block,nu-parser,0.8.0
any expression,nu-parser,0.8.0
any expression start,nu-parser,0.8.0
bare path,nu-parser,0.8.0
bare pattern,nu-parser,0.8.0
classified command,nu-parser,0.8.0
column,nu-parser,0.8.0
column path,nu-parser,0.8.0
command head,nu-parser,0.8.0
comment,nu-parser,0.8.0
dot,nu-parser,0.8.0
expression continuation,nu-parser,0.8.0
expression list,nu-parser,0.8.0
external argument,nu-parser,0.8.0
external argument,nu-parser,0.8.0
external command,nu-parser,0.8.0
external expression,nu-parser,0.8.0
file path,nu-parser,0.8.0
glob pattern,nu-parser,0.8.0
identifier,nu-parser,0.8.0
infix inner,nu-parser,0.8.0
infix operator,nu-parser,0.8.0
integer,nu-parser,0.8.0
integer member,nu-parser,0.8.0
internal command head,nu-parser,0.8.0
keyword,nu-parser,0.8.0
maybe space,nu-parser,0.8.0
maybe space,nu-parser,0.8.0
number,nu-parser,0.8.0
pair,nu-parser,0.8.0
path continuation,nu-parser,0.8.0
pipeline,nu-parser,0.8.0
positional param,nu-parser,0.8.0
range,nu-parser,0.8.0
separator,nu-parser,0.8.0
shorthand block,nu-parser,0.8.0
shorthand head,nu-parser,0.8.0
shorthand path,nu-parser,0.8.0
signature,nu-parser,0.8.0
spaced expression,nu-parser,0.8.0
string,nu-parser,0.8.0
type,nu-parser,0.8.0
type annotation,nu-parser,0.8.0
unit,nu-parser,0.8.0
variable,nu-parser,0.8.0
variable path,nu-parser,0.8.0
whitespace,nu-parser,0.8.0
word,nu-parser,0.8.0
word continuation,nu-parser,0.8.0
<whitespace? eof>,nu-parser,0.9.0
BackoffColoringMode,nu-parser,0.9.0
SimplestExpression,nu-parser,0.9.0
StringShape,nu-parser,0.9.0
any block,nu-parser,0.9.0
any expression,nu-parser,0.9.0
any expression start,nu-parser,0.9.0
bare expression,nu-parser,0.9.0
bare path,nu-parser,0.9.0
bare pattern,nu-parser,0.9.0
block,nu-parser,0.9.0
classified command,nu-parser,0.9.0
column,nu-parser,0.9.0
column path,nu-parser,0.9.0
command head,nu-parser,0.9.0
comment,nu-parser,0.9.0
decimal,nu-parser,0.9.0
decimal,nu-parser,0.9.0
delimited square,nu-parser,0.9.0
dot,nu-parser,0.9.0
dotdot,nu-parser,0.9.0
dotdot,nu-parser,0.9.0
eof,nu-parser,0.9.0
expression continuation,nu-parser,0.9.0
expression list,nu-parser,0.9.0
external boundary,nu-parser,0.9.0
external expression,nu-parser,0.9.0
external start token,nu-parser,0.9.0
external tokens,nu-parser,0.9.0
external word,nu-parser,0.9.0
fallible,nu-parser,0.9.0
file path,nu-parser,0.9.0
glob pattern,nu-parser,0.9.0
identifier,nu-parser,0.9.0
infix inner,nu-parser,0.9.0
infix operator,nu-parser,0.9.0
integer,nu-parser,0.9.0
integer,nu-parser,0.9.0
integer member,nu-parser,0.9.0
keyword,nu-parser,0.9.0
number,nu-parser,0.9.0
pair,nu-parser,0.9.0
path continuation,nu-parser,0.9.0
pattern,nu-parser,0.9.0
pipeline,nu-parser,0.9.0
positional param,nu-parser,0.9.0
range,nu-parser,0.9.0
separator,nu-parser,0.9.0
shorthand block,nu-parser,0.9.0
shorthand head,nu-parser,0.9.0
shorthand path,nu-parser,0.9.0
signature,nu-parser,0.9.0
string,nu-parser,0.9.0
string,nu-parser,0.9.0
type,nu-parser,0.9.0
type annotation,nu-parser,0.9.0
unit,nu-parser,0.9.0
unit expression,nu-parser,0.9.0
variable,nu-parser,0.9.0
variable path,nu-parser,0.9.0
whitespace,nu-parser,0.9.0
whitespace?,nu-parser,0.9.0
word,nu-parser,0.9.0
<whitespace? eof>,nu-parser,0.10.0
BackoffColoringMode,nu-parser,0.10.0
SimplestExpression,nu-parser,0.10.0
StringShape,nu-parser,0.10.0
any block,nu-parser,0.10.0
any expression,nu-parser,0.10.0
any expression start,nu-parser,0.10.0
bare expression,nu-parser,0.10.0
bare path,nu-parser,0.10.0
bare pattern,nu-parser,0.10.0
block,nu-parser,0.10.0
classified command,nu-parser,0.10.0
column,nu-parser,0.10.0
column path,nu-parser,0.10.0
command head,nu-parser,0.10.0
comment,nu-parser,0.10.0
decimal,nu-parser,0.10.0
decimal,nu-parser,0.10.0
delimited square,nu-parser,0.10.0
dot,nu-parser,0.10.0
dotdot,nu-parser,0.10.0
dotdot,nu-parser,0.10.0
eof,nu-parser,0.10.0
expression continuation,nu-parser,0.10.0
expression list,nu-parser,0.10.0
external boundary,nu-parser,0.10.0
external expression,nu-parser,0.10.0
external start token,nu-parser,0.10.0
external tokens,nu-parser,0.10.0
external word,nu-parser,0.10.0
fallible,nu-parser,0.10.0
file path,nu-parser,0.10.0
glob pattern,nu-parser,0.10.0
identifier,nu-parser,0.10.0
infix inner,nu-parser,0.10.0
infix operator,nu-parser,0.10.0
integer,nu-parser,0.10.0
integer,nu-parser,0.10.0
integer member,nu-parser,0.10.0
keyword,nu-parser,0.10.0
number,nu-parser,0.10.0
pair,nu-parser,0.10.0
path continuation,nu-parser,0.10.0
pattern,nu-parser,0.10.0
pipeline,nu-parser,0.10.0
positional param,nu-parser,0.10.0
range,nu-parser,0.10.0
separator,nu-parser,0.10.0
shorthand block,nu-parser,0.10.0
shorthand head,nu-parser,0.10.0
shorthand path,nu-parser,0.10.0
signature,nu-parser,0.10.0
string,nu-parser,0.10.0
string,nu-parser,0.10.0
type,nu-parser,0.10.0
type annotation,nu-parser,0.10.0
unit,nu-parser,0.10.0
unit expression,nu-parser,0.10.0
variable,nu-parser,0.10.0
variable path,nu-parser,0.10.0
whitespace,nu-parser,0.10.0
whitespace?,nu-parser,0.10.0
word,nu-parser,0.10.0
<whitespace? eof>,nu-parser,0.11.0
BackoffColoringMode,nu-parser,0.11.0
SimplestExpression,nu-parser,0.11.0
StringShape,nu-parser,0.11.0
any block,nu-parser,0.11.0
any expression,nu-parser,0.11.0
any expression start,nu-parser,0.11.0
append,nu-cli,0.11.0
autoview,nu-cli,0.11.0
bare expression,nu-parser,0.11.0
bare path,nu-parser,0.11.0
bare pattern,nu-parser,0.11.0
block,nu-parser,0.11.0
calc,nu-cli,0.11.0
cd,nu-cli,0.11.0
classified command,nu-parser,0.11.0
clear,nu-cli,0.11.0
clip,nu-cli,0.11.0
column,nu-parser,0.11.0
column path,nu-parser,0.11.0
command head,nu-parser,0.11.0
comment,nu-parser,0.11.0
compact,nu-cli,0.11.0
config,nu-cli,0.11.0
count,nu-cli,0.11.0
cp,nu-cli,0.11.0
date,nu-cli,0.11.0
debug,nu-cli,0.11.0
decimal,nu-parser,0.11.0
decimal,nu-parser,0.11.0
default,nu-cli,0.11.0
delimited square,nu-parser,0.11.0
describe,nu-cli,0.11.0
dot,nu-parser,0.11.0
dotdot,nu-parser,0.11.0
dotdot,nu-parser,0.11.0
echo,nu-cli,0.11.0
edit,nu-cli,0.11.0
enter,nu-cli,0.11.0
eof,nu-parser,0.11.0
evaluate-by,nu-cli,0.11.0
exit,nu-cli,0.11.0
expression continuation,nu-parser,0.11.0
expression list,nu-parser,0.11.0
external boundary,nu-parser,0.11.0
external expression,nu-parser,0.11.0
external start token,nu-parser,0.11.0
external tokens,nu-parser,0.11.0
external word,nu-parser,0.11.0
fallible,nu-parser,0.11.0
file path,nu-parser,0.11.0
filesystem,nu-cli,0.11.0
first,nu-cli,0.11.0
format,nu-cli,0.11.0
from-bson,nu-cli,0.11.0
from-csv,nu-cli,0.11.0
from-db,nu-cli,0.11.0
from-ini,nu-cli,0.11.0
from-json,nu-cli,0.11.0
from-ods,nu-cli,0.11.0
from-sqlite,nu-cli,0.11.0
from-toml,nu-cli,0.11.0
from-tsv,nu-cli,0.11.0
from-url,nu-cli,0.11.0
from-xlsx,nu-cli,0.11.0
from-xml,nu-cli,0.11.0
from-yaml,nu-cli,0.11.0
from-yml,nu-cli,0.11.0
get,nu-cli,0.11.0
glob pattern,nu-parser,0.11.0
group-by,nu-cli,0.11.0
help,nu-cli,0.11.0
histogram,nu-cli,0.11.0
history,nu-cli,0.11.0
identifier,nu-parser,0.11.0
infix inner,nu-parser,0.11.0
infix operator,nu-parser,0.11.0
insert,nu-cli,0.11.0
integer,nu-parser,0.11.0
integer,nu-parser,0.11.0
integer member,nu-parser,0.11.0
keyword,nu-parser,0.11.0
kill,nu-cli,0.11.0
last,nu-cli,0.11.0
lines,nu-cli,0.11.0
ls,nu-cli,0.11.0
map-max-by,nu-cli,0.11.0
mkdir,nu-cli,0.11.0
mv,nu-cli,0.11.0
n,nu-cli,0.11.0
nth,nu-cli,0.11.0
number,nu-parser,0.11.0
open,nu-cli,0.11.0
p,nu-cli,0.11.0
pair,nu-parser,0.11.0
parse,nu-cli,0.11.0
path continuation,nu-parser,0.11.0
pattern,nu-parser,0.11.0
pick,nu-cli,0.11.0
pipeline,nu-parser,0.11.0
pivot,nu-cli,0.11.0
positional param,nu-parser,0.11.0
prepend,nu-cli,0.11.0
pwd,nu-cli,0.11.0
range,nu-parser,0.11.0
range,nu-cli,0.11.0
reduce-by,nu-cli,0.11.0
reject,nu-cli,0.11.0
rename,nu-cli,0.11.0
reverse,nu-cli,0.11.0
rm,nu-cli,0.11.0
save,nu-cli,0.11.0
separator,nu-parser,0.11.0
shells,nu-cli,0.11.0
shorthand block,nu-parser,0.11.0
shorthand head,nu-parser,0.11.0
shorthand path,nu-parser,0.11.0
shuffle,nu-cli,0.11.0
signature,nu-parser,0.11.0
size,nu-cli,0.11.0
skip,nu-cli,0.11.0
skip-while,nu-cli,0.11.0
sort-by,nu-cli,0.11.0
split-by,nu-cli,0.11.0
split-column,nu-cli,0.11.0
split-row,nu-cli,0.11.0
string,nu-parser,0.11.0
string,nu-parser,0.11.0
t-sort-by,nu-cli,0.11.0
table,nu-cli,0.11.0
tags,nu-cli,0.11.0
to-bson,nu-cli,0.11.0
to-csv,nu-cli,0.11.0
to-db,nu-cli,0.11.0
to-json,nu-cli,0.11.0
to-sqlite,nu-cli,0.11.0
to-toml,nu-cli,0.11.0
to-tsv,nu-cli,0.11.0
to-url,nu-cli,0.11.0
to-yaml,nu-cli,0.11.0
touch,nu-cli,0.11.0
